,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
45,atuona,56,PF,1535670265,100,-9.8,-139.03,79.16,20.07
46,meulaboh,64,ID,1535670539,100,4.14,96.13,77.36,3.85
47,kaitangata,92,NZ,1535670319,95,-46.28,169.85,47.93,7.09
48,kavieng,68,PG,1535670333,100,-2.57,150.8,83.12,6.76
49,vaini,92,IN,1535670278,98,15.34,74.49,68.63,4.74
50,norman wells,75,CA,1535666400,44,65.28,-126.83,60.8,14.99
51,hermanus,32,ZA,1535670283,89,-34.42,19.24,44.24,1.95
52,ilulissat,75,GL,1535665800,100,69.22,-51.1,39.2,6.93
53,mapiripan,64,CO,1535670541,93,2.89,-72.13,75.02,3.4
54,provideniya,75,RU,1535666400,71,64.42,-173.23,50.0,2.24
55,georgetown,20,GY,1535666400,70,6.8,-58.16,84.2,9.17
56,bambous virieux,40,MU,1535666400,68,-20.34,57.76,69.8,5.82
57,tuktoyaktuk,90,CA,1535667180,93,69.44,-133.03,41.0,12.75
58,punta arenas,40,CL,1535666400,75,-53.16,-70.91,41.0,14.99
59,mchinji,20,MW,1535670544,93,-13.8,32.89,58.01,6.08
60,metro,32,ID,1535670475,91,-5.11,105.31,77.54,2.73
61,victoria,75,BN,1535668200,88,5.28,115.24,80.6,3.36
62,lima,36,PE,1535670312,64,-12.06,-77.04,60.89,2.62
63,garissa,36,KE,1535670545,72,-0.46,39.64,72.77,10.89
64,havoysund,75,NO,1535667600,87,71.0,24.66,50.0,13.87
65,ballina,0,IE,1535670434,98,54.11,-9.15,48.65,9.44
66,hasaki,20,JP,1535666400,83,35.73,140.83,82.4,6.93
67,lydenburg,0,ZA,1535670546,87,-25.1,30.46,42.98,1.95
68,port lincoln,92,AU,1535670389,100,-34.72,135.86,56.03,29.8
69,shingu,75,JP,1535668800,94,33.72,135.99,80.6,5.82
70,kapaa,40,US,1535666160,76,22.08,-159.32,84.02,18.34
71,castro,0,CL,1535670279,99,-42.48,-73.76,37.49,3.4
72,svetlaya,48,RU,1535670548,100,46.54,138.33,64.13,6.53
73,preobrazheniye,92,RU,1535670548,98,42.9,133.91,63.41,1.72
74,nagorsk,0,RU,1535670549,74,59.32,50.8,44.96,8.43
75,ambilobe,8,MG,1535670393,85,-13.19,49.05,67.46,8.88
76,carnarvon,48,ZA,1535670314,29,-30.97,22.13,48.56,4.18
77,trelew,0,AR,1535670550,73,-43.25,-65.31,36.14,7.2
78,mahebourg,40,MU,1535666400,68,-20.41,57.7,69.8,5.82
79,jamestown,88,AU,1535670268,100,-33.21,138.6,46.67,19.62
80,sao filipe,76,CV,1535670550,100,14.9,-24.5,78.08,13.58
81,bluff,0,AU,1535670268,50,-23.58,149.07,71.87,9.66
82,cabo san lucas,40,MX,1535665320,70,22.89,-109.91,87.8,8.05
83,leningradskiy,0,RU,1535670552,80,69.38,178.42,44.51,17.83
84,fitionesti,0,RO,1535668200,87,45.98,27.05,60.8,0.94
85,merke,0,KZ,1535670552,69,42.87,73.19,23.81,2.39
86,pisco,0,PE,1535666400,30,-13.71,-76.2,71.6,17.22
87,new norfolk,75,AU,1535668200,81,-42.78,147.06,48.2,4.7
88,aleksandrov gay,32,RU,1535670553,69,50.14,48.57,62.69,2.95
89,east london,20,ZA,1535670308,92,-33.02,27.91,70.97,17.16
90,vysokogornyy,80,RU,1535670553,88,50.1,139.13,54.32,3.18
91,zhigansk,64,RU,1535670554,86,66.77,123.37,57.83,12.24
92,severo-kurilsk,56,RU,1535670374,94,50.68,156.12,52.52,6.64
93,kahului,40,US,1535666160,59,20.89,-156.47,86.0,18.34
94,torbay,90,CA,1535668200,87,47.66,-52.73,57.2,26.4
95,mayumba,92,GA,1535670555,98,-3.44,10.65,73.13,4.97
96,mount gambier,92,AU,1535670349,100,-37.83,140.78,52.97,6.64
97,butaritari,32,KI,1535670273,100,3.07,172.79,82.49,0.72
98,bandarbeyla,0,SO,1535670556,86,9.49,50.81,72.68,29.46
99,port augusta,75,AU,1535666400,81,-32.49,137.76,53.6,21.92
100,clyde river,20,CA,1535666400,80,70.47,-68.59,39.2,18.34
101,hamilton,75,CA,1535666400,68,43.26,-79.87,68.0,9.17
102,auki,48,NG,1535670557,96,12.18,6.51,69.8,9.22
103,esperance,20,TT,1535666400,79,10.24,-61.45,84.2,6.93
104,abu samrah,0,SY,1535670420,74,35.3,37.18,73.04,7.99
105,flinders,0,AU,1535666400,76,-34.58,150.85,50.0,4.7
106,peniche,0,PT,1535668200,72,39.36,-9.38,66.2,16.11
107,avera,1,US,1535668500,46,33.19,-82.53,95.0,8.05
108,road town,75,VG,1535670000,94,18.42,-64.62,77.0,18.34
109,tromso,75,NO,1535665800,87,69.65,18.96,48.2,19.46
110,dikson,92,RU,1535670297,100,73.51,80.55,43.34,13.91
111,vostok,80,RU,1535670560,97,46.45,135.83,60.71,2.73
112,mut,0,TR,1535670561,73,36.64,33.44,55.76,1.95
113,ribeira grande,92,PT,1535670357,100,38.52,-28.7,75.56,13.35
114,rantepao,88,ID,1535670375,100,-2.97,119.9,68.81,2.39
115,horodok,0,UA,1535670000,87,49.78,23.65,57.2,6.71
116,inuvik,75,CA,1535668080,62,68.36,-133.71,55.4,4.7
117,kilindoni,20,TZ,1535670619,96,-7.91,39.67,78.26,15.7
118,tari,92,NG,1535670563,99,12.41,4.49,71.06,1.61
119,chitaga,40,CO,1535670000,83,7.14,-72.67,69.8,3.36
120,portland,75,US,1535669760,59,45.52,-122.67,73.94,8.05
121,vallenar,0,CL,1535670564,83,-28.58,-70.76,45.86,1.95
122,clarksburg,5,US,1535669580,62,39.24,-77.28,89.06,4.74
123,aklavik,90,CA,1535668080,87,68.22,-135.01,55.4,13.87
124,puerto ayora,0,EC,1535666400,50,-0.74,-90.35,78.8,19.46
125,mitsamiouli,64,KM,1535670565,98,-11.38,43.28,75.83,8.21
126,agirish,0,RU,1535670566,87,61.92,63.02,34.07,2.39
127,cocal,20,BR,1535665500,61,-3.47,-41.56,80.6,9.17
128,balkhash,0,KZ,1535670567,100,46.84,74.98,53.51,4.97
129,bathsheba,75,BB,1535666400,83,13.22,-59.52,82.4,18.34
130,neiafu,40,TO,1535666400,74,-18.65,-173.98,80.6,13.87
131,petatlan,40,MX,1535669100,59,17.52,-101.27,91.4,11.41
132,pevek,32,RU,1535670380,87,69.7,170.27,48.11,7.31
133,sibolga,48,ID,1535670388,100,1.74,98.78,68.81,1.28
134,carauari,12,BR,1535670352,84,-4.88,-66.9,79.79,2.39
135,guerrero negro,0,MX,1535670570,53,27.97,-114.04,82.49,10.22
136,ahipara,92,NZ,1535670385,100,-35.17,173.16,54.59,9.89
137,muroto,40,JP,1535666400,83,33.37,134.14,80.6,4.7
138,buriti bravo,0,BR,1535670571,33,-5.84,-43.84,80.33,4.85
139,constitucion,75,MX,1535669580,44,23.99,-104.67,77.0,13.87
140,kysyl-syr,44,RU,1535670572,86,63.9,122.77,57.29,6.31
141,coquimbo,75,CL,1535666400,71,-29.95,-71.34,53.6,4.7
142,klaksvik,48,FO,1535667600,87,62.23,-6.59,50.0,10.29
143,mahibadhoo,92,MV,1535670573,100,3.78,72.97,82.85,10.33
144,ancud,0,CL,1535670318,78,-41.87,-73.83,40.28,5.41
145,itarema,0,BR,1535670296,61,-2.92,-39.92,80.78,14.81
146,sinnamary,0,GF,1535670575,95,5.38,-52.96,82.49,9.78
147,staryy nadym,76,RU,1535670575,89,65.61,72.68,39.47,5.41
148,salsk,48,RU,1535670575,44,46.48,41.54,79.52,12.12
149,solnechnyy,92,RU,1535670575,95,50.72,136.64,53.6,10.0
150,chicama,20,PE,1535666400,77,-7.84,-79.15,66.2,10.29
151,ambon,0,FR,1535668200,77,47.55,-2.56,59.0,4.7
152,churapcha,20,RU,1535670577,82,62.0,132.43,61.25,6.42
153,sharkan,0,RU,1535670577,93,57.3,53.87,46.22,7.31
154,sorland,48,NO,1535670577,100,67.67,12.69,51.71,18.05
155,port blair,92,IN,1535670365,100,11.67,92.75,79.07,19.51
156,goderich,80,CA,1535670331,76,43.74,-81.71,68.18,3.74
157,jadu,0,LY,1535670578,78,31.95,12.03,66.47,5.19
158,tasiilaq,92,GL,1535665800,75,65.61,-37.64,42.8,40.26
159,kamaishi,75,JP,1535668800,100,39.28,141.86,71.6,4.7
160,young,92,UY,1535670579,85,-32.7,-57.63,53.78,21.74
161,geraldton,40,CA,1535666400,55,49.72,-86.95,66.2,14.99
162,saint-gedeon,20,CA,1535666400,62,48.5,-71.77,60.8,6.93
163,gizo,20,IL,1535667600,74,31.8,34.94,78.8,2.24
164,komsomolskiy,80,RU,1535670411,84,67.55,63.78,38.3,5.86
165,nanortalik,0,GL,1535670398,96,60.14,-45.24,40.28,41.65
166,namatanai,76,PG,1535670581,100,-3.66,152.44,78.62,6.42
167,harper,75,US,1535669460,29,30.3,-99.24,98.06,12.75
168,los llanos de aridane,0,ES,1535668200,78,28.66,-17.92,73.4,19.46
169,charlottesville,75,US,1535669700,84,38.03,-78.48,80.6,2.39
170,sept-iles,75,CA,1535666400,51,50.2,-66.38,62.6,8.05
171,makakilo city,40,US,1535666220,48,21.35,-158.09,86.0,8.05
172,nome,1,US,1535668500,62,30.04,-94.42,90.68,5.82
173,ust-kuyga,44,RU,1535670583,79,70.0,135.55,56.66,9.22
174,kil,92,SE,1535667600,82,59.5,13.32,55.4,10.29
175,saint-philippe,40,CA,1535669700,64,45.36,-73.48,69.8,3.36
176,griffith,88,AU,1535670584,67,-34.29,146.06,58.19,12.46
177,ossora,0,RU,1535670585,89,59.24,163.07,55.49,6.76
178,narsaq,0,GL,1535665800,48,60.91,-46.05,44.6,23.04
179,angren,0,UZ,1535670585,71,41.01,70.08,36.41,1.5
180,petrykivka,0,UA,1535670000,60,48.71,34.62,68.0,8.95
181,luocheng,88,CN,1535670587,95,28.29,114.55,77.0,3.85
182,padang,8,ID,1535670326,100,-0.92,100.36,79.52,6.08
183,kenai,20,US,1535666160,66,60.55,-151.26,60.98,27.51
184,mahanoro,80,MG,1535670588,89,-19.9,48.8,66.56,1.83
185,thompson,75,CA,1535666400,88,55.74,-97.86,62.6,3.36
186,nha trang,0,VN,1535670588,85,12.24,109.19,81.68,7.31
187,saint-pierre,0,FR,1535668200,82,48.95,4.24,60.8,5.82
188,tura,92,IN,1535670412,96,25.52,90.21,76.28,2.84
189,do gonbadan,0,IR,1535666400,32,30.36,50.8,84.2,2.51
190,upernavik,76,GL,1535670344,100,72.79,-56.15,36.59,12.24
191,nueve de julio,92,AR,1535670592,76,-31.67,-68.39,48.56,11.68
192,marfino,20,RU,1535668200,77,56.07,37.56,62.6,4.47
193,navahrudak,8,BY,1535670592,88,53.59,25.82,51.89,3.4
194,coihaique,0,CL,1535666400,52,-45.58,-72.07,44.6,4.7
195,dharchula,68,IN,1535670593,100,29.85,80.53,55.76,0.49
196,pochutla,75,MX,1535669100,70,15.74,-96.47,84.2,1.72
197,najran,0,SA,1535666400,20,17.54,44.22,84.2,4.7
198,elko,20,US,1535666160,2,40.83,-115.76,84.92,11.01
199,thunder bay,20,CA,1535666400,45,48.41,-89.26,68.0,12.75
200,devils lake,1,US,1535668500,51,48.11,-98.87,82.4,18.34
201,cururupu,48,BR,1535670286,88,-1.82,-44.87,77.72,5.08
202,maria la baja,40,CO,1535670000,70,9.98,-75.3,84.2,3.36
203,bao,92,BF,1535670595,98,13.0,-3.22,72.59,6.31
204,duluth,1,US,1535669700,51,46.77,-92.13,73.04,9.17
205,kuopio,90,FI,1535667600,100,62.89,27.68,59.0,4.7
206,praia,0,BR,1535666400,56,-20.25,-43.81,69.8,6.93
207,yar-sale,8,RU,1535670597,100,66.83,70.83,41.27,7.76
208,bintulu,75,MY,1535666400,94,3.17,113.03,77.0,3.36
209,tazovskiy,12,RU,1535670597,79,67.47,78.7,38.12,13.58
210,paris,0,FR,1535668200,77,48.86,2.35,62.6,4.7
211,lebu,75,ET,1535670000,93,8.96,38.73,55.4,4.7
212,formosa,20,AR,1535666400,43,-26.19,-58.17,89.6,5.82
213,holland,1,US,1535668500,64,42.79,-86.11,71.96,5.82
214,canoinhas,32,BR,1535670599,78,-26.18,-50.4,61.7,4.97
215,kupang,20,ID,1535668200,94,-10.16,123.6,73.4,8.05
216,karratha,0,AU,1535670600,45,-20.74,116.85,60.62,13.35
217,cidreira,76,BR,1535670275,80,-30.17,-50.22,65.21,6.42
218,san marcos,40,GT,1535670000,70,14.97,-91.79,84.2,1.28
219,moussoro,36,TD,1535670602,80,13.64,16.49,78.53,2.95
220,lompoc,1,US,1535668500,37,34.64,-120.46,82.4,16.11
221,cairns,20,AU,1535668200,56,-16.92,145.77,71.6,6.93
222,tamandare,24,BR,1535670603,71,-8.28,-70.75,85.19,2.39
223,tiksi,80,RU,1535670603,78,71.64,128.87,57.11,16.26
224,key west,90,US,1535668500,53,47.93,-96.78,78.8,20.8
225,mahajanga,20,MG,1535666400,83,-15.72,46.32,73.4,16.82
226,sayyan,48,YE,1535670605,27,15.17,44.32,69.71,6.87
227,port keats,0,AU,1535670605,80,-14.25,129.55,79.61,8.99
228,caravelas,88,BR,1535670367,99,-17.73,-39.27,75.92,13.35
229,vila velha,20,BR,1535670000,78,-3.71,-38.6,78.8,10.29
230,mandal,88,MN,1535670606,96,48.82,106.5,55.31,4.18
231,longyearbyen,75,NO,1535667600,70,78.22,15.63,46.4,27.51
232,waingapu,20,ID,1535670607,100,-9.65,120.26,72.32,4.29
233,kpalime,100,TG,1535670607,99,6.9,0.63,69.98,3.29
234,neryungri,0,RU,1535670608,76,56.66,124.71,58.91,4.41
235,cedar falls,75,US,1535668500,65,42.53,-92.45,76.1,9.17
236,kodiak,1,US,1535665980,74,39.95,-94.76,78.98,12.75
237,kamenka,64,RU,1535670609,49,53.19,44.05,69.89,9.55
238,goba,68,ET,1535670609,97,7.01,39.97,52.16,3.06
239,naze,88,NG,1535670610,98,5.43,7.07,70.79,2.62
240,caraz,8,PE,1535670610,54,-9.05,-77.81,55.13,0.83
241,jining,64,CN,1535670610,87,35.41,116.58,75.92,13.24
242,sioux lookout,75,CA,1535666400,49,50.1,-91.92,75.2,16.11
243,tamale,92,GH,1535670611,99,9.4,-0.84,69.35,6.31
244,lagoa,0,PT,1535668200,73,37.14,-8.45,73.4,2.24
245,ucluelet,5,CA,1535666400,72,48.94,-125.55,62.6,8.05
246,sonoita,1,US,1535666280,25,31.68,-110.66,99.86,5.82
247,sinjai,0,ID,1535670613,90,-5.12,120.25,75.92,2.39
248,half moon bay,75,US,1535666160,65,37.46,-122.43,75.02,13.87
249,iqaluit,75,CA,1535666400,70,63.75,-68.52,44.6,17.22
250,souillac,0,FR,1535668200,77,45.6,-0.6,64.4,4.7
251,san pedro,76,AR,1535670615,67,-33.68,-59.66,54.59,21.18
252,inta,0,RU,1535670615,98,66.04,60.13,41.09,2.28
253,poum,20,MK,1535670365,94,41.28,20.71,57.74,2.17
254,talcahuano,75,CL,1535666400,82,-36.72,-73.12,55.4,5.82
255,abong mbang,48,CM,1535670617,89,3.98,13.18,69.44,2.95
256,port hardy,20,CA,1535666400,77,50.7,-127.42,60.8,6.93
257,tongchuan,0,CN,1535670000,69,34.9,108.95,77.0,13.42
258,gat,75,SN,1535666400,94,14.69,-16.54,78.8,13.47
259,tecolutilla,75,MX,1535668800,74,18.28,-93.32,84.2,9.17
260,katsuura,20,JP,1535666400,94,33.93,134.5,78.8,3.36
261,shalya,0,RU,1535670619,90,57.25,58.73,41.09,5.19
262,kudahuvadhoo,48,MV,1535670619,98,2.67,72.89,84.47,8.43
263,ambatolampy,75,MG,1535668200,87,-19.39,47.43,55.4,4.7
264,capao da canoa,76,BR,1535670620,88,-29.75,-50.01,64.04,8.21
265,riyadh,0,SA,1535670000,14,24.63,46.72,87.8,5.82
266,yinchuan,92,CN,1535670621,99,38.48,106.21,64.49,4.18
267,mogadishu,88,SO,1535670511,100,2.04,45.34,76.01,18.72
268,kagoro,48,NG,1535670621,99,9.6,8.38,65.48,1.5
269,karlskrona,92,SE,1535667600,100,56.16,15.59,59.0,6.93
270,huarmey,0,PE,1535670622,71,-10.07,-78.15,61.43,3.85
271,luganville,76,VU,1535670622,100,-15.51,167.18,77.18,16.93
272,yerbogachen,0,RU,1535670623,80,61.28,108.01,55.94,5.64
273,bilibino,24,RU,1535670360,66,68.06,166.44,53.69,3.06
274,gallup,1,US,1535665980,20,35.53,-108.74,84.92,13.87
275,salalah,90,OM,1535669400,100,17.01,54.1,75.2,5.82
276,hofn,92,IS,1535670624,99,64.25,-15.21,49.55,22.3
277,muros,0,ES,1535668200,87,42.77,-9.06,60.8,5.82
278,nanakuli,20,US,1535666220,56,21.39,-158.15,86.0,18.34
279,amapa,20,HN,1535670000,58,15.09,-87.97,87.8,19.46
280,puerto escondido,90,MX,1535669100,74,15.86,-97.07,82.4,3.96
281,faanui,8,PF,1535670626,100,-16.48,-151.75,78.71,26.66
282,marawi,48,PH,1535670414,95,8.0,124.29,73.22,2.95
283,vao,64,EE,1535670302,98,59.1,26.19,58.19,2.73
284,saint george,0,GR,1535665800,73,39.45,22.34,69.8,5.82
285,xinyu,88,CN,1535670627,90,27.8,114.93,78.44,8.99
286,airai,0,TL,1535670271,84,-8.93,125.41,71.69,2.28
287,shediac,75,CA,1535666400,77,46.22,-64.55,62.6,9.17
288,san cristobal,20,EC,1535670000,58,-0.39,-78.55,59.0,21.92
289,asyut,0,EG,1535666400,51,27.18,31.19,82.4,13.87
290,villarrica,92,CL,1535670296,60,-39.28,-72.23,44.42,6.2
291,vanavara,0,RU,1535670629,89,60.35,102.28,51.71,4.63
292,sleepy hollow,20,US,1535669100,65,41.09,-73.86,89.06,4.41
293,wukari,68,NG,1535670630,99,7.87,9.78,71.06,3.4
294,muhos,92,FI,1535667600,93,64.81,26.0,57.2,5.82
295,anchorage,90,US,1535666280,57,61.22,-149.89,62.96,27.51
296,ardakan,0,IR,1535666400,12,32.31,54.02,84.2,6.93
297,merrill,40,US,1535665980,24,42.03,-121.6,80.06,12.75
298,bethel,90,US,1535665980,92,60.79,-161.76,51.08,21.92
299,hammerfest,75,NO,1535667600,87,70.66,23.68,50.0,13.87
300,cherskiy,8,RU,1535670633,55,68.75,161.3,54.32,6.08
301,san felipe,75,CL,1535666400,58,-32.75,-70.73,59.0,12.75
302,zyryanovsk,92,KZ,1535670634,100,49.74,84.27,49.46,2.39
303,port hedland,0,AU,1535668200,76,-20.31,118.58,50.0,5.82
304,carmen,56,PH,1535670635,92,7.2,124.8,75.92,3.62
305,kirakira,24,SB,1535670288,100,-10.46,161.92,82.13,16.37
306,nouadhibou,48,MR,1535666400,73,20.93,-17.03,73.4,14.99
307,dimovo,0,BG,1535668200,53,41.54,24.62,73.4,5.82
308,vikhorevka,0,RU,1535668200,100,56.12,101.17,50.0,2.24
309,comodoro rivadavia,0,AR,1535666400,100,-45.87,-67.48,44.6,3.36
310,palu,8,ID,1535670426,82,-0.9,119.87,69.98,1.95
311,otofuke,75,JP,1535668800,100,43.02,143.2,62.6,2.24
312,husavik,56,CA,1535670447,52,50.56,-96.99,78.62,22.19
313,bannu,0,PK,1535670638,78,32.99,70.6,78.98,4.07
314,athabasca,24,CA,1535670638,73,54.72,-113.29,57.02,16.04
315,launceston,90,AU,1535668200,81,-41.43,147.14,50.0,12.75
316,invermere,68,CA,1535670639,49,50.51,-116.03,55.04,1.83
317,dingle,88,PH,1535670265,92,11.0,122.67,78.26,3.62
318,wahiawa,20,US,1535666220,56,21.5,-158.02,86.0,18.34
319,maniitsoq,80,GL,1535670323,100,65.42,-52.9,38.48,26.78
320,kayerkan,0,RU,1535670640,82,69.35,87.76,35.42,18.39
321,yining,88,CN,1535670640,95,29.04,114.56,74.21,3.29
322,sipe sipe,20,BO,1535670000,34,-17.45,-66.36,68.0,9.17
323,prado,88,BR,1535670641,96,-17.34,-39.22,76.19,14.14
324,acaponeta,24,MX,1535670642,80,22.49,-105.36,86.99,9.66
325,wollongong,0,AU,1535668200,54,-34.42,150.89,59.0,17.22
326,dehra dun,48,IN,1535670565,98,30.32,78.03,66.92,1.83
327,anadyr,0,RU,1535668200,76,64.73,177.51,53.6,11.18
328,namibe,76,AO,1535670337,100,-15.19,12.15,64.04,10.22
329,laguna,20,MX,1535665320,39,27.52,-110.01,96.8,3.74
330,cayenne,0,GF,1535670000,78,4.94,-52.33,80.6,7.76
331,naryan-mar,0,RU,1535670395,91,67.67,53.09,43.25,12.57
332,fairbanks,90,US,1535668200,93,64.84,-147.72,51.08,17.22
333,saldanha,8,PT,1535670441,83,41.42,-6.55,58.19,2.62
334,sao miguel do araguaia,0,BR,1535670382,69,-13.28,-50.16,71.96,2.62
335,chippewa falls,1,US,1535669700,53,44.94,-91.39,73.94,9.17
336,port elizabeth,1,US,1535666160,50,39.31,-74.98,89.96,6.93
337,pacific grove,1,US,1535668500,50,36.62,-121.92,75.2,8.05
338,palestine,1,US,1535668500,33,31.76,-95.63,95.36,5.53
339,lagos,20,NG,1535666400,94,6.46,3.39,77.0,3.36
340,guane,48,CU,1535670649,93,22.2,-84.09,78.89,3.62
341,manta,12,RO,1535670649,85,45.1,24.1,60.53,3.85
342,nichinan,20,JP,1535666400,88,31.65,131.31,80.6,3.36
343,pokhara,92,NP,1535670650,91,28.21,83.99,60.53,2.73
344,madimba,75,CM,1535666400,100,4.42,9.93,75.2,2.24
345,safford,1,US,1535665860,15,32.83,-109.71,98.06,14.99
346,berlevag,75,NO,1535665800,87,70.86,29.09,50.0,8.05
347,ankpa,64,NG,1535670652,99,7.37,7.63,70.61,3.51
348,pujili,20,EC,1535670000,58,-0.95,-78.68,59.0,21.92
349,ottumwa,40,US,1535668500,72,41.02,-92.41,79.16,10.29
350,hailar,0,CN,1535670653,77,49.2,119.7,62.96,4.63
351,altamira,56,BR,1535670654,51,-3.2,-52.21,86.81,4.29
352,lorengau,88,PG,1535670303,100,-2.02,147.27,82.04,5.53
353,bouar,88,CF,1535670654,97,5.94,15.59,65.39,2.95
354,evensk,12,RU,1535670655,98,61.92,159.24,53.06,5.75
355,manokwari,56,ID,1535670421,100,-0.87,134.08,81.32,3.74
356,carutapera,12,BR,1535670655,86,-1.2,-46.02,79.25,8.77
357,hirara,20,JP,1535666400,94,24.8,125.28,78.8,3.36
358,chumphon,75,TH,1535670000,94,10.5,99.18,73.4,4.7
359,thohoyandou,0,ZA,1535670656,80,-22.97,30.46,44.42,1.5
360,paamiut,88,GL,1535670298,100,61.99,-49.67,40.91,29.24
361,pakxan,92,LA,1535670657,100,18.39,103.66,71.69,2.62
362,olinda,20,EC,1535670000,69,-2.03,-79.75,78.8,16.11
363,mae sot,90,MM,1535670000,88,16.71,98.57,73.4,4.7
364,banikoara,56,BJ,1535670658,94,11.3,2.44,71.51,3.74
365,grodzisk wielkopolski,75,PL,1535668200,82,52.23,16.36,62.6,8.05
366,kitimat,75,CA,1535666400,55,54.02,-128.69,66.2,18.34
367,erzin,0,TR,1535667600,83,36.95,36.2,78.8,3.36
368,ketchikan,90,US,1535668200,67,55.34,-131.65,62.6,9.17
369,inhambane,0,MZ,1535670659,100,-23.87,35.38,64.4,7.2
370,hobyo,68,SO,1535670660,90,5.35,48.53,73.13,14.14
371,coos bay,90,US,1535668500,83,43.37,-124.22,59.0,11.41
372,mmabatho,0,ZA,1535666400,30,-25.85,25.61,57.2,9.17
373,mount abu,100,IN,1535670661,94,24.59,72.71,74.39,5.53
374,jacareacanga,20,BR,1535670661,94,-6.22,-57.76,76.73,1.95
375,markala,0,ML,1535670662,88,13.69,-6.07,76.19,7.2
376,lichuan,0,CN,1535670662,90,30.3,108.94,71.33,2.95
377,bilma,80,NE,1535670394,40,18.69,12.92,82.58,1.28
378,palmas,0,BR,1535666400,27,-10.18,-48.33,87.8,5.82
379,acapulco,75,MX,1535665440,62,16.86,-99.88,87.8,6.93
380,faya,5,SA,1535666400,64,18.39,42.45,68.0,3.96
381,eureka,90,US,1535668500,77,40.8,-124.16,62.6,9.17
382,qingyuan,92,CN,1535670664,95,27.62,119.06,72.95,2.62
383,freeport,75,BS,1535670000,74,26.54,-78.7,86.0,2.24
384,makinsk,80,KZ,1535670667,100,52.63,70.42,52.7,14.36
385,caernarfon,0,GB,1535665800,81,53.14,-4.27,51.8,6.93
386,sisimiut,92,GL,1535670667,100,66.94,-53.67,32.81,4.63
387,coffs harbour,64,AU,1535668200,55,-30.3,153.13,66.2,17.22
